0.206288,0.5,329900
0.426917,0.5,369000
0.155543,0.25,232000
0.592388,0.75,539900
0.312466,0.75,299900
0.188086,0.5,314900
0.158577,0.5,198999
0.145615,0.5,212000
0.177055,0.5,242500
0.300055,0.75,239999
0.316602,0.5,347000
0.286266,0.5,329999
1,1,699900
0.114727,0.5,259900
0.399338,0.75,449900
0.129068,0.25,299900
0.105902,0.5,199900
0.484556,0.75,499998
0.600938,0.75,599000
0.252344,0.5,252900
0.285714,0.25,255000
0.207391,0.5,242900
0.306122,0.75,259900
0.837838,0.5,573900
0.068395,0.5,249900
0.167126,0.5,464500
0.461666,0.5,469000
0.37176,0.5,475000
0.492278,0.5,299900
0.272201,0.25,349900
0.040816,0,169900
0.327634,0.75,314900
0.630171,0.5,579900
0.264479,0.75,285900
0.161335,0.5,249900
0.106729,0.5,229900
0.353006,0.75,345000
0.927468,0.75,549000
0.36128,0.75,287000
0.223938,0.25,368500
0.382239,0.5,329900
0.472973,0.75,314000
0.095974,0.5,299000
0,0.25,179900
0.275786,0.75,299900
0.096801,0.5,239500
